UNITID,CREDITS1,CREDITS3,SLO8,STUSRV2,STUSRV3,LIBRES1,TUITPL1,TUITPL3,ATHASSOC
107071,1,1,1,1,0,1,0,1,1
107080,1,1,0,1,1,1,0,1,1
107099,0,0,-2,0,0,0,0,1,-2
107123,0,1,0,1,0,0,0,1,2
107141,1,1,1,1,1,1,0,1,1
107220,0,0,-2,1,0,1,0,1,-2
107293,0,0,-2,1,0,1,0,1,-2
107318,1,1,0,1,1,1,0,1,1
107327,1,1,0,1,1,1,0,1,2
107442,0,0,-2,1,1,1,0,1,-2
107460,1,1,0,1,1,1,0,1,1
107488,1,1,-2,1,0,0,0,0,-2
107512,1,1,1,1,0,1,0,1,1
107521,1,1,0,1,1,1,0,1,2
107549,1,1,0,1,1,1,0,1,2
107558,1,1,1,1,1,1,0,1,1
107585,1,1,0,1,1,1,0,1,2
107600,1,1,1,1,1,1,0,1,1
107619,1,1,0,1,1,1,0,1,2
107637,1,1,0,1,1,1,0,1,2
107655,0,0,-2,0,0,1,1,1,-2
107664,1,1,0,1,1,1,0,1,2
107725,1,1,0,1,1,1,0,1,2
107743,1,1,0,1,1,1,0,1,1
107789,0,0,-2,1,0,0,0,1,-2
107831,0,0,-2,1,0,1,0,1,-2
107840,0,0,0,1,1,1,0,1,2
107877,1,1,1,1,0,1,0,1,1
107974,1,1,0,1,0,1,0,1,1
107983,1,1,1,1,1,1,0,1,1
107992,1,1,1,1,1,1,0,1,1
108056,-2,-2,-2,-2,-2,-2,-2,-2,-2
108065,0,0,-2,1,1,0,0,1,-2
108092,1,1,1,1,1,1,1,1,1
108232,0,0,1,1,1,1,0,1,1
108269,0,0,0,1,1,1,0,1,2
108667,1,1,0,1,1,1,0,1,2
108807,1,1,0,1,1,1,0,1,2
108852,1,1,0,1,0,1,0,1,2
108861,0,0,0,1,0,0,0,1,2
108870,0,0,0,1,1,1,0,1,2
108977,0,0,-2,0,0,1,0,1,-2
109040,0,0,0,1,1,1,0,1,2
109086,0,0,0,1,1,1,0,1,2
109208,1,1,0,1,1,1,0,0,2
109350,1,1,0,1,1,1,0,1,2
109651,0,1,0,1,1,1,0,1,2
109721,0,0,-2,1,1,1,0,1,-2
109730,0,0,-2,1,1,0,0,1,-2
109785,1,1,1,1,1,1,0,1,1
109819,1,1,0,1,1,1,0,0,2
109907,1,1,0,1,1,1,0,0,1
109934,0,0,-2,0,1,0,1,1,-2
110060,1,1,0,1,0,1,0,1,1
110097,1,1,1,1,1,1,0,1,1
110194,0,0,-2,1,0,1,0,1,-2
110219,0,0,0,1,1,0,0,1,2
110246,1,1,0,1,1,1,0,1,2
110316,0,1,0,1,1,1,1,1,2
110334,1,1,0,1,1,1,0,0,2
110361,1,1,1,1,1,1,0,1,1
110370,1,1,0,1,1,1,0,1,2
110398,0,0,0,1,1,1,0,0,2
110404,0,0,0,1,1,1,0,1,1
110413,1,1,1,1,1,1,0,1,1
110422,1,1,1,1,1,1,0,0,1
110468,1,1,1,1,1,1,0,1,2
110486,1,1,1,1,1,1,0,1,1
110495,1,1,1,1,1,1,0,1,1
110501,-2,-2,-2,-2,-2,-2,-2,-2,-2
110510,1,1,1,1,1,1,0,1,1
110529,1,1,1,1,1,1,0,1,1
110538,1,1,1,1,1,1,0,1,1
110547,1,1,1,1,1,1,0,1,1
110556,1,1,1,1,1,1,0,1,1
110565,1,1,1,1,1,1,0,1,1
110574,1,1,1,1,1,1,0,1,1
110583,1,1,1,1,1,1,0,1,1
110592,1,1,1,1,1,1,0,1,1
110608,1,1,1,1,1,1,0,1,1
110617,1,1,1,1,1,1,0,1,1
110635,0,1,1,1,1,1,0,1,1
110644,1,1,1,1,1,1,0,1,1
110653,0,1,1,1,1,1,0,1,1
110662,1,1,0,1,1,1,0,1,1
110671,1,1,1,1,1,1,0,1,1
110680,0,1,1,1,1,1,0,1,1
110699,0,0,0,1,1,1,0,0,2
110705,1,1,1,1,1,1,0,0,1
110714,1,1,1,1,1,1,0,1,1
110778,0,0,0,0,0,1,0,1,2
110875,0,0,-2,1,0,0,0,1,-2
110918,0,0,0,1,0,1,0,1,2
111045,0,0,0,1,0,1,0,1,2
111054,0,0,-2,1,1,1,0,1,-2
111081,1,1,0,1,1,1,0,1,2
111188,1,1,0,1,1,1,0,1,1
111391,0,0,0,1,1,1,0,1,2
111434,1,1,0,1,1,1,0,0,2
111461,1,1,0,1,1,1,0,0,2
111513,0,0,-2,1,0,0,0,1,-2
111638,0,0,0,1,1,0,0,1,2
111708,0,0,-2,1,1,0,0,1,-2
111717,0,0,-2,1,1,0,0,1,-2
111726,0,0,-2,1,1,0,0,1,-2
111744,0,0,-2,1,1,0,0,1,-2
111762,0,0,-2,1,1,0,0,1,-2
111799,0,0,-2,1,1,0,0,1,-2
111887,1,1,0,1,1,1,0,0,2
111896,1,1,0,1,1,1,0,0,2
111920,1,1,0,1,1,1,0,1,2
111939,1,1,1,1,1,1,0,1,2
111948,1,1,1,1,1,1,0,1,1
111966,1,1,0,1,1,1,0,1,2
112075,1,1,1,1,1,1,1,1,1
112084,1,1,1,1,1,1,0,1,1
112127,0,0,0,1,0,0,0,1,2
112172,1,1,0,1,1,1,0,0,1
112181,0,0,-2,1,0,0,0,1,-2
112190,1,1,0,1,1,1,0,1,2
112251,0,0,1,1,1,1,0,1,2
112260,0,1,0,1,1,1,0,1,1
112288,0,0,-2,1,1,0,0,1,-2
112367,0,0,-2,1,0,0,0,0,-2
112376,-2,-2,-2,-2,-2,-2,-2,-2,-2
112385,1,1,0,1,1,0,0,0,2
112394,1,1,0,1,1,1,0,1,2
112455,0,0,-2,1,0,1,0,1,-2
112525,0,1,0,1,1,1,0,1,2
112561,0,1,0,1,1,1,0,0,2
112570,1,1,0,1,1,1,0,1,2
112686,1,1,0,1,1,1,0,0,2
112817,-2,-2,-2,-2,-2,-2,-2,-2,-2
112826,1,1,0,1,1,1,0,0,2
113096,1,1,0,1,1,1,0,0,2
113111,1,1,1,1,1,1,0,0,1
113193,1,1,0,1,1,1,0,0,1
113218,1,1,0,1,1,1,0,1,2
113236,1,1,1,1,1,1,0,0,1
113333,1,1,0,1,1,1,0,1,2
113449,0,0,-2,0,0,0,0,1,-2
113537,0,0,0,1,1,1,0,0,2
113573,1,1,0,1,1,1,0,1,1
113582,0,1,0,1,1,1,0,1,2
113634,1,1,1,1,1,1,0,0,2
113698,1,1,1,1,1,1,0,1,1
113704,0,0,0,1,1,1,0,1,2
113856,1,1,0,1,1,1,0,0,2
113980,1,1,0,1,1,1,0,0,2
114114,0,0,0,1,0,1,0,1,2
114123,0,0,0,1,1,1,0,1,2
114266,1,1,0,1,1,1,0,0,1
114354,1,1,0,1,1,1,0,1,2
114390,1,1,0,1,1,1,0,1,2
114433,1,1,0,1,1,1,0,0,2
114460,0,0,-2,1,0,0,0,1,-2
114549,0,0,0,1,0,0,1,1,2
114585,0,0,0,1,0,1,0,1,2
114637,0,0,-2,1,0,1,0,1,-2
114716,1,1,0,1,1,1,0,1,2
114734,0,0,0,1,1,1,0,1,2
114761,0,0,-2,1,0,0,0,1,-2
114789,1,1,0,1,1,1,0,1,2
114813,0,1,1,1,1,1,0,1,1
114831,-2,-2,-2,-2,-2,-2,-2,-2,-2
114840,0,0,0,1,1,1,0,1,2
114859,1,1,1,1,1,1,0,0,2
114938,1,1,0,1,1,1,0,0,1
114947,0,0,-2,1,1,1,0,0,-2
115001,1,1,0,1,1,1,0,1,2
115010,0,0,0,0,1,1,0,0,2
115083,1,1,0,1,1,1,0,1,2
115126,1,1,0,1,1,1,0,0,2
115214,0,0,0,0,0,1,0,1,2
115287,-2,-2,-2,-2,-2,-2,-2,-2,-2
115296,1,1,0,1,1,1,0,1,2
115357,0,0,-2,1,1,0,0,1,-2
115393,1,1,0,1,1,1,0,0,2
115409,0,0,0,1,1,1,0,1,1
115658,0,0,-2,1,1,0,0,1,-2
115728,1,1,1,1,1,1,0,1,1
115746,0,0,0,1,0,1,0,1,2
115755,1,1,1,1,1,1,0,1,1
115773,1,1,1,1,1,1,1,0,2
115861,1,1,0,1,1,1,0,0,1
115931,0,0,0,1,1,0,1,1,2
116226,0,0,0,1,0,1,0,1,2
116350,0,0,-2,1,0,0,0,1,-2
116439,1,1,0,1,1,1,0,0,1
116563,0,0,-2,0,1,0,1,1,-2
116712,0,1,0,1,1,1,0,1,2
116846,1,1,1,1,1,1,0,1,2
117052,1,1,0,1,1,1,0,1,2
117104,1,1,0,1,1,1,0,1,1
117140,1,1,1,1,1,1,0,1,1
117168,1,1,0,1,1,1,0,1,2
117195,1,1,0,1,1,1,0,1,2
117238,0,0,-2,1,0,0,0,1,-2
117247,1,1,0,1,1,1,0,1,1
117274,1,1,0,1,1,1,0,0,1
117283,0,0,0,0,0,1,0,1,2
117520,0,0,0,1,1,1,0,0,2
117557,0,0,0,1,1,1,0,1,2
117575,0,1,0,1,1,1,0,1,2
117627,1,1,1,1,1,1,0,1,1
117636,1,1,0,1,1,1,0,0,2
117645,1,1,0,1,1,1,0,1,2
117672,0,1,0,1,1,1,0,1,2
117681,-2,-2,-2,-2,-2,-2,-2,-2,-2
117690,1,1,0,1,1,1,0,0,2
117706,1,1,0,1,1,1,0,0,2
117715,1,1,0,1,1,1,0,0,2
117724,1,0,1,1,1,1,0,0,1
117733,1,1,1,1,1,1,0,0,2
117751,1,1,1,1,1,1,0,1,1
117788,1,1,0,1,1,1,0,0,2
117803,1,1,0,1,1,1,0,1,2
117867,1,1,1,1,1,1,0,1,2
117894,1,1,1,1,1,1,0,0,2
117900,-2,-2,-2,-2,-2,-2,-2,-2,-2
117946,1,1,1,1,1,1,0,1,1
117955,0,0,-2,0,0,0,0,1,-2
118134,0,0,-2,1,0,0,0,1,-2
118143,0,0,-2,1,0,0,0,1,-2
118161,0,0,-2,1,1,0,0,1,-2
118198,0,1,0,1,1,1,0,1,2
118347,1,1,0,1,1,1,0,1,2
118541,1,1,0,1,1,1,0,1,1
118684,1,1,0,1,1,1,0,0,1
118693,1,1,0,1,1,1,0,1,1
118718,1,1,1,1,1,1,0,1,2
118772,1,1,0,1,1,1,0,1,2
118888,1,1,1,1,1,1,0,1,1
118912,1,1,0,1,1,1,0,0,2
118930,1,1,0,1,1,1,0,1,1
118958,0,0,-2,1,0,0,0,0,-2
118976,1,1,0,1,1,1,0,0,2
118994,0,0,-2,1,1,1,0,1,-2
119058,0,1,0,1,1,1,0,1,2
119067,1,0,0,1,1,1,0,0,2
119137,1,1,0,1,1,1,0,1,2
119164,1,1,0,1,1,1,0,0,2
119173,0,1,1,1,1,1,0,1,2
119216,1,1,0,1,1,1,0,1,2
119270,1,1,0,1,1,1,0,1,2
119331,1,1,0,1,1,1,0,0,2
119553,0,0,-2,1,1,0,0,1,-2
119605,1,1,1,1,1,1,0,0,2
119678,0,0,0,0,0,1,0,0,2
119775,0,1,0,1,1,1,0,1,2
119845,0,0,-2,1,0,0,0,1,-2
119951,0,0,-2,0,0,0,0,1,-2
120023,-2,-2,-2,-2,-2,-2,-2,-2,-2
120069,0,0,-2,1,0,1,0,1,-2
120078,0,0,0,1,0,1,0,1,2
120087,0,0,-2,1,0,1,0,1,-2
120166,0,1,0,1,1,1,0,1,2
120184,1,1,1,1,1,1,0,1,2
120254,1,1,0,1,1,1,0,1,1
120290,1,1,0,1,1,1,0,1,1
120342,1,1,0,1,1,1,0,0,2
120403,1,1,1,1,1,1,0,1,2
120421,1,1,0,1,1,1,0,1,2
120537,1,1,1,1,1,0,0,1,1
120661,0,0,0,1,1,1,0,1,2
120698,1,1,0,1,0,1,1,1,2
120768,0,1,1,1,1,1,0,1,2
120795,0,0,0,1,0,1,0,1,2
120838,0,1,0,1,1,1,0,1,2
120865,1,1,1,1,1,1,0,1,1
120883,1,1,1,1,1,1,0,1,1
120953,1,1,0,1,0,1,0,0,2
120971,1,1,0,1,1,1,0,0,2
121044,1,1,0,1,1,1,0,0,2
121150,1,1,1,1,1,1,0,1,1
121178,-2,-2,-2,-2,-2,-2,-2,-2,-2
121257,1,1,0,1,1,1,0,1,1
121275,0,1,0,1,1,1,0,1,2
121309,1,1,1,1,1,1,0,1,1
121345,0,1,0,1,1,1,0,1,1
121363,1,1,0,1,1,1,0,0,2
121433,0,0,-2,0,0,0,0,0,-2
121619,1,1,0,1,1,1,0,0,2
121628,0,0,0,1,1,1,1,1,2
121637,0,0,-2,1,0,0,0,1,-2
121691,1,1,1,1,1,1,0,1,1
121707,1,1,0,1,1,1,0,1,1
121859,0,0,-2,1,1,0,0,1,-2
121868,0,0,-2,1,1,0,0,1,-2
121886,1,1,0,1,1,1,0,0,1
121901,1,1,1,1,1,1,0,0,1
121992,0,0,-2,1,0,0,0,1,-2
122117,0,0,0,1,0,1,0,1,2
122180,1,1,1,1,1,1,0,0,2
122205,1,1,1,1,1,1,0,0,2
122296,0,0,0,1,1,1,0,1,2
122320,-2,-2,-2,-2,-2,-2,-2,-2,-2
122339,1,1,0,1,1,1,0,0,1
122375,1,1,0,1,1,1,0,0,1
122384,1,1,0,1,1,1,0,0,1
122409,1,1,1,1,1,1,0,1,1
122436,1,1,1,1,1,1,0,1,1
122454,1,1,0,1,1,1,0,1,2
122506,0,1,0,1,1,1,0,1,2
122597,1,1,1,1,1,1,0,1,1
122612,1,1,1,1,1,1,0,1,1
122649,0,0,0,1,1,1,0,1,2
122658,1,1,0,1,1,1,0,0,2
122685,0,1,0,1,1,1,1,1,2
122694,0,1,0,1,1,1,1,1,2
122728,1,1,1,1,1,1,1,1,1
122737,-2,-2,-2,-2,-2,-2,-2,-2,-2
122746,1,1,0,1,1,1,0,1,2
122755,1,1,1,1,1,1,0,1,1
122782,-2,-2,-2,-2,-2,-2,-2,-2,-2
122791,1,1,0,1,1,1,0,0,2
122834,0,0,0,1,1,1,0,1,2
122852,0,0,0,1,1,1,0,1,2
122889,1,1,0,1,1,1,0,0,2
122931,0,1,1,1,1,1,0,1,1
122977,1,1,0,1,1,1,0,0,2
123013,1,1,0,1,1,1,0,1,1
123095,0,0,0,1,0,1,0,1,2
123165,1,1,0,1,1,1,0,1,1
123217,1,1,0,1,1,1,0,1,2
123280,1,1,1,1,1,1,0,1,2
123299,1,1,0,1,1,1,0,1,2
123341,1,1,0,1,1,1,0,1,1
123350,0,0,-2,1,0,0,0,1,-2
123448,0,0,0,1,0,1,0,1,2
123457,1,1,1,1,1,1,0,0,1
123484,1,1,0,1,1,1,0,1,1
123493,0,0,-2,1,1,1,0,0,-2
123509,1,1,0,1,1,1,0,0,1
123527,1,0,0,1,1,1,0,0,1
123554,1,1,1,1,1,1,0,1,1
123563,1,1,0,1,1,1,0,0,1
123572,1,1,1,1,1,1,0,1,1
123633,0,0,0,1,1,1,0,1,2
123642,0,0,0,1,0,1,1,1,2
123651,1,1,1,1,1,1,0,1,1
123679,0,0,0,1,1,1,0,1,2
123800,1,1,1,1,1,1,0,0,2
123916,0,0,0,0,0,1,0,1,2
123925,-2,-2,-2,-2,-2,-2,-2,-2,-2
123943,0,0,0,1,1,1,0,0,2
123952,1,1,0,1,0,1,0,1,2
123961,0,1,0,1,1,1,0,1,1
123970,0,0,0,1,1,1,0,1,2
124113,1,1,0,1,1,1,0,1,2
124283,0,0,0,1,1,1,0,1,2
124292,0,0,0,1,0,1,0,1,2
124487,1,1,0,1,0,1,0,1,2
124557,-2,-2,-2,-2,-2,-2,-2,-2,-2
124681,0,0,-2,1,1,1,0,1,-2
124706,0,0,0,1,1,1,0,1,2
124937,0,0,0,1,1,1,0,1,2
125019,-2,-2,-2,-2,-2,-2,-2,-2,-2
125028,1,1,0,1,1,1,0,1,2
125037,0,0,0,1,0,1,0,1,2
125082,0,0,-2,1,0,0,0,0,-2
125091,1,1,0,1,1,1,0,1,2
125170,1,1,0,1,1,1,0,1,2
125222,-2,-2,-2,-2,-2,-2,-2,-2,-2
125231,0,1,1,1,0,0,0,1,2
125310,0,0,-2,0,0,0,0,1,-2
125462,1,1,0,1,0,1,0,0,1
125471,1,1,0,1,1,1,0,0,2
125499,1,1,0,1,0,1,0,1,1
125532,0,0,0,1,0,1,0,1,2
125718,0,0,0,1,1,1,0,1,2
125727,1,1,1,1,1,1,0,1,1
125763,0,1,1,1,1,1,0,1,1
125897,1,1,0,1,1,1,0,1,2
126012,0,0,0,1,1,1,0,1,2
126049,0,0,0,1,1,1,0,1,2
126076,0,0,0,1,0,1,0,1,2
126100,-2,-2,-2,-2,-2,-2,-2,-2,-2
126119,1,1,0,1,1,1,0,1,1
126164,0,0,-2,0,0,0,0,1,-2
126182,1,1,1,1,1,1,1,1,1
126207,1,1,0,1,1,1,0,1,2
126289,1,1,0,1,1,1,0,1,2
126359,0,0,0,1,1,1,1,1,2
126562,1,1,1,1,1,1,0,1,2
126580,1,1,1,1,1,1,0,1,1
126605,1,0,0,1,1,1,0,1,2
126614,1,1,1,1,1,1,1,1,1
126669,1,1,1,1,1,1,1,1,1
126678,1,1,1,1,0,1,0,1,1
126687,0,0,0,1,1,1,0,1,2
126711,1,1,1,1,1,1,0,1,1
126748,1,1,0,1,1,1,0,0,1
126775,1,1,1,1,1,1,0,1,1
126784,0,0,0,1,1,0,0,0,2
126818,1,1,1,1,1,1,0,1,1
126827,1,1,0,1,1,1,0,1,2
126863,1,1,0,1,1,1,0,1,2
126915,1,1,-2,1,1,0,0,1,-2
126942,1,1,0,1,1,0,0,1,2
126951,1,0,0,1,1,1,1,1,2
126979,0,0,0,1,1,1,0,1,2
127060,1,1,1,1,1,1,0,1,1
127158,1,0,-2,1,1,0,0,1,-2
127185,1,1,1,1,1,1,0,1,1
127200,1,1,0,1,1,1,0,1,2
127273,0,0,0,1,1,1,0,1,2
127316,0,0,-2,1,0,0,0,0,-2
127389,1,1,0,1,1,1,0,1,1
127556,1,1,1,1,1,1,0,1,1
127565,1,1,1,1,1,1,0,0,1
127617,1,1,0,1,1,1,0,1,2
127653,0,1,1,1,1,1,0,1,2
127714,1,1,0,1,0,0,0,1,2
127732,1,1,0,1,0,1,0,1,1
127741,1,1,1,1,1,1,0,1,1
127778,1,1,1,1,1,1,0,0,1
127820,1,1,0,1,1,1,0,1,2
127884,1,1,1,1,1,1,0,1,2
127909,1,1,0,1,1,1,0,1,2
127918,1,1,1,1,0,1,0,1,1
127945,1,1,1,1,1,1,0,1,2
127954,0,0,-2,1,1,0,0,1,-2
128106,1,1,1,1,1,1,0,1,1
128151,1,0,-2,1,1,0,0,1,-2
128179,0,0,0,1,1,0,1,1,2
128188,0,0,0,1,1,0,1,1,2
128258,1,1,0,1,1,1,0,1,1
128300,-2,-2,-2,-2,-2,-2,-2,-2,-2
128328,0,1,0,1,0,1,0,0,1
128337,0,0,-2,1,1,0,0,1,-2
128391,1,1,1,1,1,1,0,1,1
128498,1,1,1,1,1,1,0,1,1
128577,1,1,0,1,1,1,0,1,2
128586,0,0,0,1,0,1,0,1,2
128744,1,1,1,1,1,1,0,1,1
128771,1,1,1,1,1,1,0,1,1
128780,1,1,1,1,0,0,0,1,2
128896,0,0,-2,1,1,0,0,1,-2
128902,1,1,0,1,1,1,0,1,1
129002,0,0,-2,1,1,0,1,1,-2
129020,1,1,1,1,1,1,0,1,1
129154,1,1,0,1,1,1,0,1,2
129181,0,0,-2,0,1,1,1,1,-2
129215,1,1,1,1,1,1,0,1,1
129242,0,1,1,1,1,1,0,1,1
129349,0,0,-2,1,0,1,1,1,-2
129367,1,1,0,1,1,1,0,1,2
129428,0,0,0,0,0,0,0,0,2
129482,0,0,-2,1,0,0,1,1,-2
129491,0,0,0,1,0,1,0,1,2
129525,1,1,1,1,1,1,0,1,1
129534,1,1,0,1,0,1,0,0,2
129543,1,1,0,1,1,1,0,1,2
129695,1,1,0,1,1,1,0,1,2
129729,1,1,0,1,1,1,0,1,2
129756,1,1,0,1,1,1,0,1,2
129774,1,1,1,1,0,1,0,1,1
129808,1,1,0,1,1,1,0,1,2
129923,0,0,-2,1,1,1,1,1,-2
129932,0,0,-2,0,0,1,0,1,-2
129941,1,1,0,1,1,1,0,1,1
130004,1,1,0,1,1,1,0,1,2
130040,1,1,0,1,1,1,0,1,2
130110,0,1,0,1,1,1,0,1,2
130174,0,0,-2,1,1,0,1,1,-2
130183,1,1,0,1,1,1,0,1,1
130217,1,1,0,1,1,1,0,1,2
130226,1,1,1,1,1,1,0,1,1
130253,1,1,1,1,1,1,0,1,1
130314,1,1,1,1,1,1,0,1,1
130396,1,1,0,1,1,1,0,1,1
130493,1,1,1,1,1,1,0,1,1
130509,0,0,-2,1,0,1,0,1,-2
130590,1,1,1,1,1,1,0,1,1
130606,1,1,0,1,1,1,0,1,2
130624,0,0,0,1,0,1,0,0,1
130697,1,1,0,1,1,1,0,1,1
130776,1,1,1,1,1,1,0,1,1
130794,0,1,0,1,1,1,0,1,1
130837,0,0,-2,1,1,1,0,1,-2
130873,0,0,-2,1,1,0,0,1,-2
130882,-2,-2,-2,-2,-2,-2,-2,-2,-2
130907,1,1,1,1,1,1,0,1,1
130934,1,1,1,1,1,1,0,1,1
130943,1,1,1,1,1,1,0,1,1
130989,1,1,0,1,1,1,0,1,1
131061,0,0,-2,1,1,0,0,1,-2
131098,1,1,1,1,1,1,0,1,1
131113,1,1,1,1,1,1,0,1,1
131159,1,1,1,1,1,1,0,1,1
131283,0,1,1,1,1,1,0,1,1
131399,1,1,1,1,1,1,0,1,1
131405,0,0,0,1,1,1,0,1,2
131450,1,1,1,1,1,1,0,0,1
131469,1,1,1,1,1,1,0,1,1
131496,1,1,0,1,1,1,0,1,1
131520,1,1,1,1,1,1,0,1,1
131803,1,1,0,1,1,1,0,1,2
131830,0,0,-2,1,0,1,0,1,-2
131876,1,1,1,1,1,1,0,1,1
131973,0,0,0,1,1,1,0,1,2
132374,0,0,-2,1,0,1,0,1,-2
